210102	10	0	1	0	140	14	
210103	14.1429	0	2	2.14286	198	14	
210203	24.6923	1	1	14.6923	321	13	
180001	10	0	1	0	140	14	
180102	10	0	1	0	140	14	
180103	12	0	2	0	156	13	
180304	10	0	1	0	140	14	
200001	10	0	1	0	70	7	
200002	12	0	2	0	120	10	
200102	10	0	1	0	100	10	
200103	12	0	2	0	156	13	
200304	10	0	1	0	120	12	
200305	12	0	2	0	168	14	
220001	10	0	1	0	90	9	
220002	12	0	2	0	168	14	
220203	10	0	1	0	80	8	
220304	10	0	1	0	60	6	
220305	22	0	7	0	286	13	
220106	16	0	4	0	160	10	
220107	14	0	3	0	168	12	
220508	49.5833	1	3	35.5833	595	12	
220708	16.5	0	1	6.5	165	10	
220609	14	0	3	0	98	7	
220610	16.8333	0	4	0.833333	101	6	
220511	56	1	6	36	672	12	
220711	85.3333	1	4	69.3333	1024	12	
220912	45.1538	1	3	31.1538	587	13	
221012	35.5	1	2	23.5	355	10	
220413	26	0	9	0	260	10	
220214	24	0	8	0	240	10	
240001	10	0	1	0	100	10	
240102	10	0	1	0	90	9	
240203	10	0	1	0	100	10	
240004	18	0	5	0	252	14	
240204	22	0	7	0	264	12	
240304	24	0	8	0	336	14	
240405	10	0	1	0	120	12	
240506	10	0	1	0	140	14	
240507	12	0	2	0	132	11	
250001	20	0	6	0	140	7	
250002	26	0	9	0	338	13	
250103	12	0	2	0	144	12	
250203	10	0	1	0	100	10	
250304	16	0	4	0	128	8	
250405	10	0	1	0	130	13	
250506	10	0	1	0	120	12	
250507	12	0	2	0	120	10	
230001	24	0	8	0	240	10	
230002	22	0	7	0	286	13	
230203	43	1	1	33	559	13	
230304	25.2727	1	1	15.2727	278	11	
230305	30.3571	1	2	18.3571	425	14	
230106	19.0714	0	5	1.07143	267	14	
230206	86.1429	1	4	70.1429	1206	14	
230506	23.6923	1	1	13.6923	308	13	
230407	20.1667	0	3	6.16667	121	6	
230408	26	0	4	10	260	10	
230709	22	0	7	0	198	9	
230110	56	1	4	40	616	11	
230610	15	0	3	1	210	14	
230710	16	0	4	0	224	14	
230911	16	0	4	0	160	10	
231012	12	0	2	0	96	8	
231013	14	0	3	0	140	10	
231314	10	0	1	0	120	12	
231315	18	0	5	0	180	10	
231216	14	0	3	0	98	7	
270001	10	0	1	0	130	13	
270002	12	0	2	0	120	10	
270203	10	0	1	0	100	10	
270104	14	0	3	0	98	7	
270105	18	0	5	0	126	7	
270206	40.2727	1	5	22.2727	443	11	
270306	91.5714	1	6	71.5714	1282	14	
270407	46.1111	1	6	26.1111	415	9	
270507	32.7143	1	2	20.7143	458	14	
260001	10	0	1	0	140	14	
260102	10	0	1	0	100	10	
260103	12.3571	0	2	0.357143	173	14	
260304	28	1	1	18	196	7	
260005	18	0	5	0	180	10	
260205	22.6154	0	3	8.61538	294	13	
260405	24.8571	1	1	14.8571	348	14	
260206	50	1	4	34	550	11	
260306	67	1	3	53	804	12	
260506	10	0	1	0	70	7	
260607	24	0	8	0	192	8	
260708	10	0	1	0	140	14	
260709	12	0	2	0	72	6	
260610	58.5	1	9	32.5	819	14	
